                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.68026,                0.64774,                 1.1695,                0.91375,                0.56344,                0.78944,                0.58553,                  1.405,                 1.5104,                 1.2975,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.62159,                0.64694,                 1.0466,                0.92022,                0.55637,                0.79551,                0.58096,                 1.4214,                 1.5555,                 1.3073,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.75504,                0.72605,                 1.2418,                0.92022,                0.55637,                0.79551,                0.58096,                 1.4214,                 1.5555,                 1.3073,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.66264,                0.52609,                 1.1026,                0.91752,                0.55559,                0.79951,                0.57735,                 1.4297,                 1.5728,                 1.3172,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.76602,                0.91972,                 1.1567,                0.91752,                0.55559,                0.79951,                0.57735,                 1.4297,                 1.5728,                 1.3172,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.63619,                0.41427,                 1.1607,                0.91589,                0.55485,                0.80226,                 0.5745,                 1.4394,                 1.6033,                 1.3233,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.64164,                0.58381,                 1.0799,                0.91589,                0.55485,                0.80226,                 0.5745,                 1.4394,                 1.6033,                 1.3233,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.47044,                0.74725,                0.91269,                0.91677,                 0.5532,                0.71805,                0.50772,                 1.4382,                 1.6096,                 1.3206,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.78111,                0.88732,                 1.3229,                0.91677,                 0.5532,                0.71805,                0.50772,                 1.4382,                 1.6096,                 1.3206,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.0596,                 0.9951,                 1.4332,                0.91677,                 0.5532,                0.71805,                0.50772,                 1.4382,                 1.6096,                 1.3206,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.80718,                0.93972,                 1.1866,                0.91978,                0.55227,                0.71114,                0.50633,                 1.4485,                 1.6113,                 1.3249,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.58353,                0.59135,                 1.0028,                0.91978,                0.55227,                0.71114,                0.50633,                 1.4485,                 1.6113,                 1.3249,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.93002,                0.70558,                 1.3308,                0.91978,                0.55227,                0.71114,                0.50633,                 1.4485,                 1.6113,                 1.3249,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.73137,                0.61486,                 1.2179,                0.91861,                0.55176,                0.72033,                 0.5172,                 1.4618,                 1.6327,                 1.3267,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.68055,                0.65947,                 1.1402,                0.91861,                0.55176,                0.72033,                 0.5172,                 1.4618,                 1.6327,                 1.3267,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.59605,                0.56265,                 1.1048,                0.91861,                0.55176,                0.72033,                 0.5172,                 1.4618,                 1.6327,                 1.3267,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.77048,                0.57199,                 1.2836,                0.92386,                0.55057,                0.72113,                0.51684,                 1.4796,                 1.6436,                 1.3346,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.69869,                0.66737,                 1.1911,                0.92386,                0.55057,                0.72113,                0.51684,                 1.4796,                 1.6436,                 1.3346,             2.8988e-05,             2.8988e-05,             2.8988e-05
